"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 11:51:56 UTC 2026","Wed Aug 05 11:51:56 UTC 2026","184","tests.api","test_bookstore_negative","","","","User cannot delete book without authorization token",""
"passed","Wed Aug 05 11:51:56 UTC 2026","Wed Aug 05 11:51:56 UTC 2026","85","tests.api","test_bookstore_positive","","","","User can retrieve the book list",""
"passed","Wed Aug 05 11:51:55 UTC 2026","Wed Aug 05 11:51:56 UTC 2026","858","tests.api","test_bookstore_negative","","","","User cannot add duplicate book",""
"passed","Wed Aug 05 11:51:54 UTC 2026","Wed Aug 05 11:51:55 UTC 2026","571","tests.api","test_bookstore_negative","","","","User cannot add book without authorization token",""
"passed","Wed Aug 05 11:51:55 UTC 2026","Wed Aug 05 11:51:55 UTC 2026","86","tests.api","test_bookstore_negative","","","","User cannot retrieve specific book using invalid ISBN",""
"passed","Wed Aug 05 11:51:56 UTC 2026","Wed Aug 05 11:51:56 UTC 2026","88","tests.api","test_bookstore_positive","","","","User can retrieve specific book using valid ISBN",""
"passed","Wed Aug 05 11:51:56 UTC 2026","Wed Aug 05 11:51:56 UTC 2026","84","tests.api","test_bookstore_negative","","","","User cannot update book using invalid ISBN",""
"passed","Wed Aug 05 11:51:56 UTC 2026","Wed Aug 05 11:51:56 UTC 2026","177","tests.api","test_bookstore_positive","","","","User can add a book into collection",""
"passed","Wed Aug 05 11:51:56 UTC 2026","Wed Aug 05 11:51:57 UTC 2026","457","tests.api","test_bookstore_positive","","","","User can update an existing book",""
"passed","Wed Aug 05 11:51:57 UTC 2026","Wed Aug 05 11:51:57 UTC 2026","431","tests.api","test_bookstore_positive","","","","User can delete a book from collection",""
