"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","382","User cannot delete book without authorization token","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_negative","",""
"","369","User can add a book into collection","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_positive","",""
"","195","User cannot update book using invalid ISBN","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_negative","",""
"","196","User can retrieve the book list","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_positive","",""
"","742","User can update an existing book","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_positive","",""
"","185","User cannot retrieve specific book using invalid ISBN","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_negative","",""
"","1191","User cannot add duplicate book","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_negative","",""
"","510","User can delete a book from collection","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_positive","",""
"","194","User can retrieve specific book using valid ISBN","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_positive","",""
"","862","User cannot add book without authorization token","tests.api","2026-08-05","passed","2026-08-05","","test_bookstore_negative","",""
